Var,0182,0049,0030,0081,0075,0128,0065,0072,0093,0224,0004,0042,0019,0061,1004,0038,0036,0129,0073,0046,0086,0223,0231,0198,0094,0130,0057,0122,0185,0227,0233,0216,0009,0138,0059,0078,0232,0186,0142,0226,0099,0229,0031,0217,0125,0003,0063,0220,0211,0225,0058,0136,0113,0188,0184,0011,0133,0200,0205,0219,0132,0115,0121,0091,0083,0234,,,,0151,1460
10. 1. Entidades asociadas ,"4,51,312","70,52,264","12,160","2,65,088","3,211","3,085",0,"1,339","1,06,527",535,0,456,0,0,0,0,0,7,33,"6,024","33,871","3,46,231",0,"9,434",0,0,0,0,0,95,0,0,137,0,0,0,0,0,"2,025",0,0,0,0,0,0,0,0,0,"6,906",0,0,0,267,0,0,0,0,0,0,0,0,0,10,0,0,0,"83,01,017",,10. 1. Entidades asociadas ,0,0
10. 2. Entidades multigrupo ,"4,180","3,99,961","79,053","17,343","8,943","36,767",0,"2,398","33,612","6,912",361,"1,503","2,204",0,0,0,0,0,0,0,"13,508",0,0,0,0,0,0,0,0,0,0,0,"15,200",0,"41,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,563",0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,6,"6,71,715",,10. 2. Entidades multigrupo ,0,0
10. 3. Entidades del grupo ,"2,12,12,230","5,47,80,704","5,68,507","7,31,767","19,29,642","1,82,060","40,401","1,54,793","1,16,539","35,60,237",0,"2,39,059","32,898","2,81,377",0,0,"1,15,273",0,0,"22,161","1,10,314",0,0,"11,449","1,092",53,0,"1,50,113",0,"7,290","4,133",0,"1,12,194","4,921","2,316","1,119","1,07,399","4,350","12,245","9,704",1,0,640,30,0,0,"3,99,839",0,"10,766",661,"23,290",0,"1,44,794","1,112",0,"7,001",0,"5,235",9,0,0,0,0,0,0,"25,544","8,51,25,262",,10. 3. Entidades del grupo ,0,"8,025"
11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,"19,95,422","30,39,488","14,96,732","2,28,019","83,163",0,"56,907","23,764","14,580","26,658","5,389",0,0,"2,017","5,477",0,339,0,0,0,"1,589",0,10,0,0,"32,917",0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,"24,035",0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,"70,36,879",,11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,0,0
13. ACTIVO MATERIAL ,"18,95,425","7,28,588","11,11,583","8,14,424","4,05,787","3,79,418","1,83,998","3,04,355","2,23,251",80,"62,380","82,616","55,429","1,43,660",983,0,214,0,19,"39,505","38,171","2,810",87,"1,756","10,181","26,586",2,"10,706","31,908",561,"3,366",98,"4,953","29,352","6,561","15,118","8,910","7,683","9,677","5,177","4,725",679,"11,728","4,209","3,799",41,32,"2,875","39,721","3,692",978,"29,133",91,"1,299",465,"4,833",74,"2,183",561,"2,506",2,1,0,0,0,"2,045","67,61,050",,13. ACTIVO MATERIAL ,"1,832","4,678"
13. 1. Inmovilizado material ,"18,84,426","7,26,095","10,87,576","8,13,700","3,97,608","3,79,418","1,83,659","2,96,388","2,13,142",80,"61,073","77,828","49,578","1,43,660",983,0,214,0,19,"39,505","38,171","2,810",87,"1,756","10,181","26,586",2,"10,706","31,908",561,"3,366",98,"4,953","28,573","6,561","12,985","8,910","7,683","9,590","5,177","3,376",679,"10,663","4,209","3,705",41,32,"2,875","39,721","3,692",978,"8,293",91,"1,299",465,"4,833",74,"2,183",561,"2,506",2,1,0,0,0,"2,041","66,57,936",,13. 1. Inmovilizado material ,"1,832","4,678"
13. 1. 1.  De uso propio ,"18,84,426","7,26,095","10,87,576","8,13,700","3,97,608","3,64,695","1,83,659","2,96,388","2,13,142",80,"61,073","77,828","49,578","1,13,346",983,0,214,0,19,"39,505","38,171","2,810",87,"1,756","10,181","26,586",2,"10,706","31,908",561,"3,366",98,"4,953","28,573","6,561","12,910","8,910","7,683","9,590","5,177","3,376",679,"10,663","4,209","3,705",41,32,"2,875","39,721","3,692",978,"8,293",91,"1,299",465,"4,833",74,"2,183",561,"2,506",2,1,0,0,0,"2,041","66,12,824",,13. 1. 1.  De uso propio ,"1,832","4,678"
13. 1. 2.  Cedido en arrendamiento operativo ,0,0,0,0,0,"14,723",0,0,0,0,0,0,0,"30,314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"45,112",,13. 1. 2.  Cedido en arrendamiento operativo ,0,0
13. 1. 3.  Afecto a la Obra Socias (sólo Cajas de Ahorro y Cooperativas de Crédito) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13. 1. 3.  Afecto a la Obra Socias (sólo Cajas de Ahorro y Cooperativas de Crédito) ,0,0
13. 2. Inversiones inmobiliarias ,"10,999","2,493","24,007",724,"8,179",0,339,"7,967","10,109",0,"1,307","4,788","5,851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,"2,133",0,0,87,0,"1,349",0,"1,065",0,94,0,0,0,0,0,0,"20,840",0,0,0,0,0,0,0,0,0,0,0,0,0,4,"1,03,114",,13. 2. Inversiones inmobiliarias ,0,0
