Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
10. 3. Entidades del grupo ,"6,17,29,081","2,08,30,983","5,34,058","17,47,558","7,47,571","5,44,461","26,791","1,53,152","1,31,042","36,73,592",0,"24,757","2,85,554","3,03,548","1,15,273",0,0,0,"66,190","21,143",0,"11,449",6,"1,089",0,"1,42,325","4,133",1,"7,290",0,"4,921","25,601",0,"1,07,399","1,116","94,694","2,316",0,"12,767","9,704","6,642",0,640,"4,350","4,00,750",0,30,"23,290",0,0,661,"1,44,794","1,112",0,"7,001",0,"5,321",0,0,9,0,0,0,0,0,"9,19,54,165",
11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,"29,71,488","20,02,580","14,69,710","69,201","2,08,005",0,"68,613","22,635","14,580","25,185",0,0,0,"2,008",332,0,0,10,"1,571",0,0,0,"34,054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,"24,035",0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,"69,14,411",
13. ACTIVO MATERIAL ,"7,20,329","14,84,399","11,09,342","4,19,247","7,48,124","3,86,701","1,73,337","1,68,912","2,19,301",60,0,"51,939","72,415","1,41,200",112,0,15,131,"38,185","55,278","2,097","2,024","25,580","9,628","32,020","9,448","2,784","4,936",447,72,"28,824","2,035",1,"8,659","14,797","4,520","5,959",612,"44,439","3,931","8,959","3,602","11,452","7,839",28,37,"3,149",893,"1,744","30,199","2,787",88,"1,288",418,"4,682",77,"2,038","2,510",0,180,0,0,0,0,770,"60,74,580",
13. 1. Inmovilizado material ,"7,17,877","14,80,856","10,80,736","4,10,024","7,47,244","3,86,701","1,73,190","1,55,834","2,08,009",60,0,"46,221","67,737","1,41,200",112,0,15,131,"38,185","55,278","2,097","2,024","25,580","9,628","32,020","9,448","2,784","3,600",447,72,"25,744","2,031",1,"8,659","12,593","4,520","5,959",612,"44,439","3,931","8,872","3,504","10,392","7,839",28,37,"3,149",893,"1,744","9,386","2,787",88,"1,288",418,"4,682",77,"2,038","2,510",0,180,0,0,0,0,770,"59,66,281",
13. 1. 1.  De uso propio ,"7,17,877","14,80,856","10,80,736","4,10,024","7,47,244","3,72,596","1,73,190","1,55,834","2,08,009",60,0,"46,221","67,737","1,11,643",112,0,15,131,"38,185","55,278","2,097","2,024","25,580","9,628","32,020","9,448","2,784","3,600",447,72,"25,744","2,031",1,"8,659","12,593","4,520","5,959",612,"44,439","3,931","8,872","3,504","10,392","7,839",28,37,"3,149",893,"1,744","9,386","2,787",88,"1,288",418,"4,682",77,"2,038","2,510",0,180,0,0,0,0,770,"59,22,619",
13. 1. 2.  Cedido en arrendamiento operativo ,0,0,0,0,0,"14,105",0,0,0,0,0,0,0,"29,557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,662",
13. 1. 3.  Afecto a la Obra Socias (sólo Cajas de Ahorro y Cooperativas de Crédito) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13. 2. Inversiones inmobiliarias ,"2,452","3,543","28,606","9,223",880,0,147,"13,078","11,292",0,0,"5,718","4,678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,336",0,0,"3,080",4,0,0,"2,204",0,0,0,0,0,87,98,"1,060",0,0,0,0,0,0,"20,813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,08,299",
Pro-memoria: Adquirido en arrendamiento financiero ,"4,42,275",0,"25,647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,93,502",
14. ACTIVO INTANGIBLE ,350,"2,20,866","57,146","41,181","4,66,068","9,673","21,256","17,184","1,008","10,335",0,0,0,"2,779",0,0,0,163,"4,867","14,597",273,"2,043","15,552",784,"92,790","16,595",0,"2,695",681,0,141,0,"1,737","53,570",0,"2,991","5,377",1,0,414,"1,333",401,0,493,113,3,660,"11,234",99,0,313,0,0,879,"3,192",1,584,0,0,0,0,0,0,0,"35,521","11,17,943",
