Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121,0091,0083,
10. 2. Entidades multigrupo ,"4,99,758","43,57,318","1,33,906","84,492","7,443",162,"2,398",0,"53,261","12,160",0,"1,503","2,204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,4,0,211,0,0,0,0,"9,745",0,0,0,0,0,0,0,0,0,0,201,0,0,0,6,0,0,"51,64,826"
10. 3. Entidades del grupo ,"6,55,73,842","2,08,45,511","16,31,794","5,85,878","11,69,358","5,43,293","1,72,201","26,792","2,58,304","42,42,684","3,32,724","2,25,585","15,529",0,0,"11,449","1,15,274",0,"18,970","5,73,912",6,0,0,"82,971","12,333","1,236","4,921",0,"2,119",0,"28,289",0,698,"1,07,400","9,139",6,0,"6,642",0,"2,301","1,13,356","4,350","3,03,398",0,661,"2,008","23,290","4,043","9,704","1,44,794",0,0,0,"10,110","1,112",0,"4,700",0,0,50,0,14,0,"9,72,22,751"
11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,"28,51,276","18,47,065","36,400","14,14,309","1,72,266","7,789","25,142","40,766","16,064","22,556","2,074",0,0,0,0,0,199,34,0,"1,361","29,729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,"29,823",0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,"64,97,239"
13. ACTIVO MATERIAL ,"12,61,594","14,68,236","3,12,203","9,98,619","6,11,279","3,74,434","1,31,563","1,32,887","2,02,035",42,"1,32,505","54,703","51,544",0,6,"1,819",0,102,"61,707","29,788","21,958","1,310","14,887","8,331","1,750","8,746","26,754",0,"13,454","36,144","2,644","3,407","3,556","7,529",196,"18,134",431,"7,196",0,"6,079","3,008","7,289",18,29,"1,713","43,851",907,"34,645","2,495",81,284,400,"1,534","3,554","1,270",412,"1,846","2,716",0,338,0,0,0,"61,13,962"
13. 1. Inmovilizado material ,"12,59,371","14,67,366","3,03,997","9,70,019","6,06,336","3,74,434","1,15,006","1,32,764","1,92,812",42,"1,32,505","46,924","45,955",0,6,"1,819",0,102,"61,707","29,788","21,958","1,310","14,887","8,331","1,750","8,746","23,780",0,"11,862","36,144","2,640","3,234","3,556","7,529",196,"10,394",431,"7,196",0,"6,079","3,008","7,289",18,29,"1,713","43,851",907,"19,836","2,495",81,284,400,"1,534","3,554","1,270",412,"1,846","2,716",0,338,0,0,0,"60,02,557"
13. 1. 1.  De uso propio ,"7,52,301","14,67,366","3,03,997","9,70,019","6,06,336","3,62,966","1,15,006","1,32,764","1,92,812",42,"1,04,634","46,924","45,955",0,6,"1,819",0,102,"61,707","29,788","21,958","1,310","14,887","8,331","1,750","8,746","23,780",0,"11,862","36,144","2,640","3,234","3,556","7,529",196,"10,394",431,"7,196",0,"6,079","3,008","7,289",18,29,"1,713","43,851",907,"19,836","2,495",81,284,400,"1,534","3,554","1,270",412,"1,846","2,716",0,338,0,0,0,"54,56,148"
13. 1. 2.  Cedido en arrendamiento operativo ,"5,07,070",0,0,0,0,"11,468",0,0,0,0,"27,871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,46,409"
13. 1. 3.  Afecto a la Obra Socias (sólo Cajas de Ahorro y Cooperativas de Crédito) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13. 2. Inversiones inmobiliarias ,"2,223",870,"8,206","28,600","4,943",0,"16,557",123,"9,223",0,0,"7,779","5,589",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,974",0,"1,592",0,4,173,0,0,0,"7,740",0,0,0,0,0,0,0,0,0,0,0,"14,809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,11,405"
Pro-memoria: Adquirido en arrendamiento financiero ,"4,87,638",0,0,"16,767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,04,405"
14. ACTIVO INTANGIBLE ,"18,458","4,15,952","77,942","62,828","5,93,696",0,"26,002","46,425","3,125","2,607","3,341",0,0,0,0,"1,659",0,60,"14,503","3,484","13,971",37,0,"10,574",0,758,135,"1,879",0,"86,543",0,211,670,"54,112","1,828",92,110,"1,380",0,"3,181","1,600",618,83,0,251,0,"10,624",0,143,0,905,"34,088",25,"3,903",0,0,395,0,0,0,0,0,0,"14,98,198"
14. 1. Fondo de comercio ,0,0,0,0,"5,56,822",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,359",0,0,0,0,0,0,0,0,0,0,"60,384",0,0,0,"44,244",0,0,0,0,0,0,0,0,0,0,0,0,"10,017",0,0,0,0,"26,864",0,0,0,0,0,0,0,0,0,0,0,"7,00,690"
14. 2. Otro activo intangible ,"18,458","4,15,952","77,942","62,828","36,874",0,"26,002","46,425","3,125","2,607","3,341",0,0,0,0,"1,659",0,60,"12,144","3,484","13,971",37,0,"10,574",0,758,135,"1,879",0,"26,159",0,211,670,"9,868","1,828",92,110,"1,380",0,"3,181","1,600",618,83,0,251,0,607,0,143,0,905,"7,224",25,"3,903",0,0,395,0,0,0,0,0,0,"7,97,508"
15. ACTIVOS FISCALES ,"23,50,683","30,66,638","8,12,694","8,98,551","10,88,956","2,14,940","2,42,889","3,87,725","1,69,707","1,98,353","60,904","60,390","1,05,957",0,"1,910","8,690","1,864","70,402","36,029","6,509","81,195",50,"2,819","70,161","6,704","1,257","3,099","3,083","3,976","6,851","5,385","12,797","20,370","3,015","5,558","3,395","2,610",611,26,"1,424","18,725","13,760","82,717",497,"45,462","17,767","17,327",709,"3,335",38,114,"2,284","3,892","3,786",160,"3,210",591,365,27,250,64,0,0,"1,02,33,257"
15. 1. Corrientes ,"1,24,148","3,08,446","74,036","13,753","62,043","62,377","27,406",641,"10,576","1,336","3,508","30,159","25,764",0,85,"1,440",893,"6,346",820,23,"1,363",50,"2,006",560,806,979,"1,009",780,527,976,321,"5,743",94,305,0,"1,649","1,981",67,15,56,31,"1,272",18,242,"1,868","1,977",268,674,334,27,0,59,0,"3,786",160,2,57,365,13,11,7,0,0,"7,84,258"
15. 2.  Diferidos ,"22,26,536","27,58,192","7,38,658","8,84,798","10,26,913","1,52,563","2,15,483","3,87,084","1,59,131","1,97,017","57,396","30,231","80,193",0,"1,825","7,250",971,"64,056","35,209","6,486","79,832",0,813,"69,601","5,898",278,"2,090","2,303","3,449","5,875","5,064","7,054","20,276","2,710","5,558","1,746",629,544,11,"1,368","18,694","12,488","82,699",255,"43,594","15,790","17,059",35,"3,001",11,114,"2,225","3,892",0,0,"3,208",534,0,14,239,57,0,0,"94,49,000"
