Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0099,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121
11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,"28,65,682","18,47,065","41,579","14,22,049","1,77,571","7,690","25,379","40,158","16,064","23,113","2,066",0,0,0,0,0,203,34,0,"1,361","29,379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,229,0,0,0,0,"29,823",0,0,0,0,0,0,0,0,210,0,0,0,0,0
13. ACTIVO MATERIAL ,"12,56,901","14,65,323","3,23,147","10,09,223","6,08,533","3,77,020","1,37,776","1,38,667","2,07,725",43,"1,35,384","65,337","53,724",0,8,"1,879",0,102,"62,832","31,583","22,701","1,433","15,397","8,017","1,900","8,949","27,471",1,"13,669","35,706","2,766","3,483","4,392","7,770",220,"17,333","4,602",460,"7,445",0,"6,286","3,471","7,405",20,37,"1,816","44,035",982,"34,662","2,491",82,311,498,"1,559","3,662","1,274",54,"1,867","2,663",0,277,0
13. 1. Inmovilizado material ,"12,54,661","14,64,415","3,14,448","9,80,618","6,03,547","3,77,020","1,22,321","1,38,542","1,99,345",43,"1,35,384","57,867","48,111",0,8,"1,879",0,102,"62,832","31,583","22,701","1,433","15,397","8,017","1,900","8,949","24,476",1,"12,067","35,706","2,763","3,310","4,392","7,770",220,"10,560","3,289",460,"7,445",0,"6,286","3,471","7,405",20,37,"1,816","44,035",982,"19,079","2,491",82,311,498,"1,559","3,662","1,274",54,"1,867","2,663",0,277,0
13. 1. 1.  De uso propio ,"7,38,557","14,64,415","3,14,448","9,80,618","6,03,547","3,65,100","1,22,321","1,38,542","1,99,345",43,"1,07,180","57,867","48,111",0,8,"1,879",0,102,"62,832","31,583","22,701","1,433","15,397","8,017","1,900","8,949","24,476",1,"12,067","35,706","2,763","3,310","4,392","7,770",220,"10,560","3,289",460,"7,445",0,"6,286","3,471","7,405",20,37,"1,816","44,035",982,"19,079","2,491",82,311,498,"1,559","3,662","1,274",54,"1,867","2,663",0,277,0
13. 1. 2.  Cedido en arrendamiento operativo ,"5,16,104",0,0,0,0,"11,920",0,0,0,0,"28,204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13. 1. 3.  Afecto a la Obra Socias (sólo Cajas de Ahorro y Cooperativas de Crédito) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13. 2. Inversiones inmobiliarias ,"2,240",908,"8,699","28,605","4,986",0,"15,455",125,"8,380",0,0,"7,470","5,613",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,995",0,"1,602",0,4,173,0,0,0,"6,773","1,313",0,0,0,0,0,0,0,0,0,0,0,"15,583",0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Adquirido en arrendamiento financiero ,"4,69,492",0,0,"20,293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14. ACTIVO INTANGIBLE ,"18,492","4,05,357","66,415","61,662","4,54,916",0,"25,151","44,988","2,954","3,389","3,391",0,0,0,0,"1,841",0,54,"15,838","3,440","14,543",43,0,"12,147",0,688,114,"1,812",0,"87,776",0,235,766,"54,934","1,846",106,"1,796",126,"1,512",0,"3,750","1,942",652,89,0,286,0,"10,645",0,160,0,987,"34,400",27,"4,055",0,0,411,0,0,0,0
14. 1. Fondo de comercio ,0,0,0,0,"4,13,453",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,359",0,0,0,0,0,0,0,0,0,0,"60,384",0,0,0,"44,244",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,017",0,0,0,0,"26,864",0,0,0,0,0,0,0,0,0
14. 2. Otro activo intangible ,"18,492","4,05,357","66,415","61,662","41,463",0,"25,151","44,988","2,954","3,389","3,391",0,0,0,0,"1,841",0,54,"13,479","3,440","14,543",43,0,"12,147",0,688,114,"1,812",0,"27,392",0,235,766,"10,690","1,846",106,"1,796",126,"1,512",0,"3,750","1,942",652,89,0,286,0,628,0,160,0,987,"7,536",27,"4,055",0,0,411,0,0,0,0
15. ACTIVOS FISCALES ,"23,42,152","31,06,078","6,69,832","10,13,421","9,75,025","2,02,347","2,40,722","3,88,338","1,62,852","1,98,373","59,951","76,786","95,341",0,"1,875","9,826","1,772","54,049","37,420","6,710","77,240",132,995,"71,853","5,451",912,"2,776","2,304","3,580","6,574","5,279","11,812","20,141","3,108","9,131","2,954",777,585,688,11,"1,627","19,005","13,293","85,420",286,"45,445","18,302","17,907",858,"2,813",11,162,"2,294","3,712","3,336","1,155","3,236",539,1,14,261,57
15. 1. Corrientes ,"1,13,900","3,25,741","28,718","2,006","48,057","51,306","20,354",604,"9,027","3,507","2,614","32,437","15,147",0,50,207,801,"1,000","1,309",224,"1,441",132,217,"1,175",80,645,"1,042",0,131,194,1,"4,758",78,278,0,"1,216",7,2,130,0,110,0,383,4,52,"1,852",817,206,823,196,0,0,69,0,"3,336","1,155",12,1,1,0,0,0
15. 2.  Diferidos ,"22,28,252","27,80,337","6,41,114","10,11,415","9,26,968","1,51,041","2,20,368","3,87,734","1,53,825","1,94,866","57,337","44,349","80,193",0,"1,825","9,619",971,"53,049","36,111","6,486","75,799",0,778,"70,678","5,371",267,"1,734","2,304","3,449","6,380","5,278","7,054","20,063","2,830","9,131","1,738",770,583,558,11,"1,517","19,005","12,910","85,416",234,"43,593","17,485","17,701",35,"2,617",11,162,"2,225","3,712",0,0,"3,224",538,0,14,261,57
16. RESTO DE ACTIVOS ,"22,78,512","3,91,596","2,61,287","1,90,331","1,03,910","26,845","1,80,314","26,330","5,916","1,712","20,274","23,723","47,689",0,"2,723","75,217","37,218",137,"23,039","34,393","14,288","5,309","1,830","44,437","6,072","1,229","2,150","3,761","4,060","10,684",377,85,882,"22,035","1,314",169,954,"1,019","1,704",1,"3,003","9,008",230,0,1,"1,005",947,"5,525",682,"9,797",2,133,520,97,"20,358",30,"4,704",740,"1,092",0,1,0
TOTAL ACTIVO ,"42,75,67,518","38,95,13,737","12,84,64,711","11,62,91,159","8,35,21,837","5,57,67,984","3,08,18,527","3,42,16,918","2,36,04,569","2,64,40,260","91,08,732","96,54,810","1,66,08,742","61,62,915","43,54,384","1,03,85,883","79,97,619","1,75,01,361","45,79,090","65,74,315","82,48,930","17,90,400","20,80,876","30,62,123","15,93,862","15,35,390","17,28,657","9,77,520","9,75,259","14,46,336","9,67,527","19,42,110","22,22,343","8,66,176","13,36,823","6,75,282","6,47,432","9,55,096","5,74,197","14,44,410","7,75,899","77,44,331","5,65,702","38,98,234","3,57,698","29,72,644","6,59,477","9,15,076","5,51,300","9,21,048","2,12,794","1,88,851","1,60,786","1,54,806","3,02,008","1,26,027","3,25,764","1,14,940","1,45,737","32,937","27,472","18,032"
PASIVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  CARTERA DE NEGOCIACIÓN ,"5,29,68,338","3,44,99,617","10,00,188","48,76,247","9,57,841","20,27,956","78,078","29,622","73,628","55,529","18,300","51,641","2,04,163","35,544",0,"2,76,484",0,"89,170","1,856","13,173",0,0,"9,097",0,105,497,"2,093",0,126,"2,540",0,0,"1,224",0,0,84,0,11,183,"2,58,483",361,24,763,0,0,0,"16,364","39,962",0,"1,259",0,0,0,0,168,0,0,0,0,0,0,0
1. 1. Depósitos de bancos centrales ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1. 2. Depósitos de entidades de crédito ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1. 3. Depósitos de la clientela ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1. 4. Débitos representados por valores negociables ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1. 5. Derivados de negociación ,"4,25,50,041","3,10,90,991","9,79,966","48,74,134","9,57,841","6,60,463","78,078","29,622","73,628","55,529","18,300","51,641","2,04,163","35,544",0,"2,48,482",0,"89,170","1,856","13,173",0,0,"9,097",0,105,497,"2,093",0,126,"2,540",0,0,"1,224",0,0,84,0,11,183,"2,58,483",361,24,475,0,0,0,"16,023","39,962",0,"1,259",0,0,0,0,168,0,0,0,0,0,0,0
