Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0115,0121,0091,0083,1490,,,
10. 3. Entidades del grupo ,"6,13,34,036","1,98,07,470","5,34,789","17,05,191","5,25,056","5,04,070","26,791","1,43,173","1,31,042","39,53,588",0,"19,590","2,90,893","3,04,237","1,15,273",0,0,0,"66,222","10,623",0,"11,449",6,"1,155",0,"1,01,511","4,133",1,"7,290",0,"4,921","24,563",0,"1,07,399","1,116","1,09,528","2,316",0,"10,054","9,704","6,642",0,6,"4,350","3,97,081",0,698,"23,290",0,0,661,"1,44,794","1,112",0,"10,110",0,"4,693",0,0,0,0,3,0,0,"9,04,60,630",,10. 3. Entidades del grupo 
11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,"29,87,524","18,82,643","14,35,023","63,031","2,09,484",0,"53,181","25,240","15,577","25,208",0,0,0,"2,023",263,0,0,13,"1,462",0,0,0,"31,061",0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,"22,086",0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,"67,54,237",,11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES 
13. ACTIVO MATERIAL ,"13,38,600","14,63,646","10,84,179","3,81,979","7,54,488","3,83,676","1,64,463","1,53,748","2,22,166",54,0,"51,986","69,364","1,40,255",85,0,14,138,"36,342","67,147","1,954","1,959","25,099","9,406","34,172","8,955","2,577","5,079",411,69,"28,254","2,366",1,"8,852","14,995","4,318","5,844",582,"44,385","3,643","8,510","3,607","11,296","7,889",26,35,"2,551",878,"1,703","30,199","2,461",87,"1,285",398,"4,452",70,"2,016","2,735",0,0,0,0,0,683,"65,96,132",,13. ACTIVO MATERIAL 
13. 1. Inmovilizado material ,"13,36,162","14,61,184","10,54,810","3,72,961","7,54,150","3,83,676","1,64,317","1,38,890","2,10,777",54,0,"46,286","64,722","1,40,255",85,0,14,138,"36,342","67,147","1,954","1,959","25,099","9,406","34,172","8,955","2,577","3,747",411,69,"25,190","2,362",1,"8,852","12,395","4,318","5,844",582,"44,385","3,643","8,510","3,509","10,237","7,889",26,35,"2,551",878,"1,703","9,465","2,461",87,"1,285",398,"4,452",70,"2,016","2,735",0,0,0,0,0,683,"64,86,881",,13. 1. Inmovilizado material 
13. 1. 1.  De uso propio ,"7,40,706","14,61,184","10,54,810","3,72,961","7,54,150","3,71,168","1,64,317","1,38,890","2,10,777",54,0,"46,286","64,722","1,10,953",85,0,14,138,"36,342","67,147","1,954","1,959","25,099","9,406","34,172","8,955","2,577","3,747",411,69,"25,190","2,362",1,"8,852","12,395","4,318","5,844",582,"44,385","3,643","8,510","3,509","10,237","7,889",26,35,"2,551",878,"1,703","9,465","2,461",87,"1,285",398,"4,452",70,"2,016","2,735",0,0,0,0,0,683,"58,49,615",,13. 1. 1.  De uso propio 
13. 1. 2.  Cedido en arrendamiento operativo ,"5,95,456",0,0,0,0,"12,508",0,0,0,0,0,0,0,"29,302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,37,266",,13. 1. 2.  Cedido en arrendamiento operativo 
13. 1. 3.  Afecto a la Obra Socias (sólo Cajas de Ahorro y Cooperativas de Crédito) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13. 1. 3.  Afecto a la Obra Socias (sólo Cajas de Ahorro y Cooperativas de Crédito) 
13. 2. Inversiones inmobiliarias ,"2,438","2,462","29,369","9,018",338,0,146,"14,858","11,389",0,0,"5,700","4,642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,332",0,0,"3,064",4,0,0,"2,600",0,0,0,0,0,0,98,"1,059",0,0,0,0,0,0,"20,734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,09,251",,13. 2. Inversiones inmobiliarias 
Pro-memoria: Adquirido en arrendamiento financiero ,"4,65,632",0,"21,721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,87,353",,Pro-memoria: Adquirido en arrendamiento financiero 
14. ACTIVO INTANGIBLE ,"16,636","2,45,590","67,492","48,544","4,64,901",0,"26,155","18,789","1,200","8,317",0,0,0,"3,050",0,0,0,42,"3,937","16,339",211,"1,898","15,809",747,"91,844","15,492",0,"2,730",697,0,139,0,"1,725","53,238",0,"2,765","5,379",7,0,357,"1,307",376,0,588,108,2,727,"11,074",87,0,281,0,0,"1,235","3,632",1,537,0,0,0,0,0,0,"35,319","11,69,304",,14. ACTIVO INTANGIBLE 
