Var,0182,0049,0075,0030,0081,0128,0065,0072,0093,0224,0061,0042,0019,0038,0036,0231,0198,0073,0046,0130,0086,0223,0122,0129,0094,0233,0185,0057,0216,0227,0138,0234,0099,0078,0125,0229,0232,0142,0031,0059,0009,0186,0063,0217,0003,0058,0136,0211,0113,0226,0225,0184,0188,1490,0011,0220,0133,0200,0219,0132,0115,0121,0091,0083,0235
10. 1. Entidades asociadas ,"36,25,833","1,26,793","22,421","10,632","2,90,537","3,087",0,"1,372","53,266",0,0,456,0,0,0,0,"9,434",33,"14,325",0,"15,376","3,46,231",0,7,0,0,0,0,0,95,0,"6,064",0,0,0,0,0,"2,160",634,0,107,0,0,0,0,0,0,"7,185",267,0,0,"10,000",0,0,0,0,0,0,0,0,0,10,0,0,0
10. 2. Entidades multigrupo ,"13,600","5,00,999","9,304","84,492","7,443",737,0,"2,398","53,261","6,912",0,"1,503","2,204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,975",0,0,0,0,0,0,0,0,"11,683",0,0,0,0,0,0,"9,175",0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0
10. 3. Entidades del grupo ,"2,09,65,509","6,04,36,689","17,03,878","5,16,480","6,01,898","5,45,368","26,791","1,42,754","1,38,154","43,06,935","3,05,085","2,92,221","18,124",0,"1,15,271",0,"11,449",0,"13,053",6,"66,222",0,"77,078",0,"1,146","4,006",0,0,0,"9,139","4,921","24,719",1,"1,116",0,0,"1,07,400","6,642",6,"2,301","1,09,528","4,350","3,58,421",698,0,"23,290","4,460","10,054","1,44,794","9,704",661,0,"1,112",0,"10,110",0,0,"4,701",0,0,0,0,2,0,50
11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,"18,70,674","29,65,256","50,021","14,14,701","1,93,598",0,"54,633","24,661","15,577","24,354","2,038",0,0,0,258,13,0,0,0,"31,788","1,418",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,139,0,0,0,"22,086",0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0
13. ACTIVO MATERIAL ,"14,49,806","12,98,053","3,51,127","10,41,491","6,12,892","3,80,245","1,52,312","1,44,268","2,12,024",44,"1,37,312","66,042","52,644",0,49,121,"1,904",10,"64,940","23,830","34,297","1,605","8,163",0,"9,270","2,172","35,469",1,50,273,"27,863","2,934","4,820","14,787","3,570",513,"8,404","7,838","15,715","6,653","3,822","7,495",24,"1,961",29,784,"34,311","43,944",85,"2,990","1,944",351,"1,279",633,"4,033","1,617",60,"1,912","2,709",0,0,0,0,0,0
13. 1. Inmovilizado material ,"14,48,701","12,95,787","3,42,573","10,11,094","6,06,452","3,80,245","1,52,186","1,28,707","2,02,130",44,"1,37,312","61,485","46,986",0,49,121,"1,904",10,"64,940","23,830","34,297","1,605","8,163",0,"9,270","2,172","35,469",1,50,273,"24,836","2,930","3,498","12,437","3,397",513,"8,404","7,838","10,824","6,653","3,822","7,495",24,"1,961",29,784,"18,925","43,944",85,"2,990","1,944",351,"1,279",633,"4,033","1,617",60,"1,912","2,709",0,0,0,0,0,0
13. 1. 1.  De uso propio ,"14,48,701","7,39,576","3,42,573","10,11,094","6,06,452","3,67,814","1,52,186","1,28,707","2,02,130",44,"1,08,598","61,485","46,986",0,49,121,"1,904",10,"64,940","23,830","34,297","1,605","8,163",0,"9,270","2,172","35,469",1,50,273,"24,836","2,930","3,498","12,437","3,397",513,"8,404","7,838","10,824","6,653","3,822","7,495",24,"1,961",29,784,"18,925","43,944",85,"2,990","1,944",351,"1,279",633,"4,033","1,617",60,"1,912","2,709",0,0,0,0,0,0
13. 1. 2.  Cedido en arrendamiento operativo ,0,"5,56,211",0,0,0,"12,431",0,0,0,0,"28,714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13. 1. 3.  Afecto a la Obra Socias (sólo Cajas de Ahorro y Cooperativas de Crédito) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13. 2. Inversiones inmobiliarias ,"1,105","2,266","8,554","30,397","6,440",0,126,"15,561","9,894",0,0,"4,557","5,658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,027",4,"1,322","2,350",173,0,0,0,"4,891",0,0,0,0,0,0,0,"15,386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
