Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
10. DERIVADOS DE COBERTURA ..........................................................................................................,"18,64,794","15,25,680","4,72,259","3,41,588","1,40,031","73,170","4,654","1,82,018","7,584","51,210",786,"1,67,460","17,405","14,288","6,155",0,0,36,457,"3,964",334,"5,050","6,48,561",20,254,0,0,0,"5,048",0,"18,408",150,0,0,0,0,"18,996",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"13,673",0,0,"3,209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,87,243",
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"48,887","34,880","39,185","10,078","43,087","3,214","21,364","4,125","3,679","2,323","13,880",0,143,814,"2,741",0,0,0,"6,558",0,"5,585",538,0,0,"2,964",0,0,36,"2,440",0,0,"1,445",0,0,229,313,0,33,0,0,0,21,0,0,383,"3,039",0,0,94,"1,030",0,0,0,0,23,1,366,0,"3,999",0,0,0,0,692,0,3,0,0,0,0,0,"2,58,192",
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.4. Instrumentos de capital ......................................................................................................................................................................,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,"3,932",0,0,0,0,0,0,0,0,0,0,0,0,"7,811",
11.5. Activo material ...............................................................................................................................................................................,"48,008","34,880","39,185","10,078","43,087","3,214","21,364","4,125","3,679","2,323","13,880",0,143,814,"2,741",0,0,0,"6,558",0,"5,585",538,0,0,"2,964",0,0,36,"2,440",0,0,"1,445",0,0,229,313,0,33,0,0,0,21,0,0,383,39,0,0,94,"1,030",0,0,0,0,23,1,366,0,67,0,0,0,0,692,0,3,0,0,0,0,0,"2,50,381",
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12. PARTICIPACIONES ..................................................................................................................................................................,"2,14,62,465","5,87,43,988","9,35,903","10,87,455","13,12,878","1,36,879","1,09,453","40,818","1,90,554","33,99,781",361,0,"41,439","1,76,653","1,49,595",0,7,"1,15,721",270,3,177,"25,185",0,"19,216",180,"1,035","57,275","3,68,258",103,"1,51,100",0,90,"7,385",0,0,"7,788","4,127","1,119","47,566","1,07,410","28,394","14,537",0,1,30,6,0,0,0,"12,487","9,704",676,"23,290","1,76,079",0,"1,45,119","1,02,807","1,112",0,0,0,"5,436",0,9,0,0,0,0,10,0,0,"8,92,21,934",
12.1. Entidades asociadas ......................................................................................................................................................................,"5,15,840","2,21,40,537","11,795","1,69,820","3,211","3,085","1,133",0,"50,252","5,395",0,0,0,0,456,0,7,0,0,3,0,"3,024",0,"7,767",0,0,243,"3,46,231",0,0,0,0,95,0,0,0,0,0,0,0,"24,000","2,292",0,0,0,0,0,0,0,"1,275",0,0,0,0,0,325,137,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"2,32,86,933",
