Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"7,356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,356",
10. DERIVADOS DE COBERTURA ..........................................................................................................,"19,89,545","19,02,583","4,83,497","4,01,420","1,33,974","69,921","5,607","2,17,452","15,287","67,522","1,305","1,36,514","17,267","12,272","8,354",0,0,48,"1,218","4,798",786,"4,799","6,23,276",21,594,0,0,0,"4,806",0,"12,386",354,0,0,348,0,"18,909",19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"12,972",0,0,"7,228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61,55,083",
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"46,989","34,880","42,106","10,376","43,691","3,459","22,670","4,439","3,923","2,667","14,905",0,184,"1,057","3,570",0,0,0,"7,241",0,"5,532",680,0,0,"2,964",0,0,7,"2,442",0,0,"1,446",0,0,229,313,0,33,0,0,0,421,0,0,383,"3,039",0,0,94,"1,030",0,0,0,0,23,1,453,0,"3,915",0,0,0,0,955,0,3,0,0,0,0,0,"2,66,120",
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.4. Instrumentos de capital ......................................................................................................................................................................,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,"3,848",0,0,0,0,0,0,0,0,0,0,0,0,"7,727",
11.5. Activo material ...............................................................................................................................................................................,"46,110","34,880","42,106","10,376","43,691","3,459","22,670","4,439","3,923","2,667","14,905",0,184,"1,057","3,570",0,0,0,"7,241",0,"5,532",680,0,0,"2,964",0,0,7,"2,442",0,0,"1,446",0,0,229,313,0,33,0,0,0,421,0,0,383,39,0,0,94,"1,030",0,0,0,0,23,1,453,0,67,0,0,0,0,955,0,3,0,0,0,0,0,"2,58,393",
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12. PARTICIPACIONES ..................................................................................................................................................................,"2,15,29,039","5,93,87,113","7,43,452","10,84,788","15,49,642","1,37,200","1,09,454","40,818","1,92,896","34,13,117",361,0,"41,430","1,77,150","1,49,595",0,7,"1,15,721",270,3,177,"24,885",0,"19,216",180,"1,035","57,275","3,71,258",103,"1,50,953",0,90,"7,385",0,0,"7,973","4,127","1,119","47,566","1,07,409","28,394","14,537",0,1,30,6,0,0,0,"12,487","9,704",676,"23,290","2,12,065",0,"1,45,119","1,02,807","1,112",0,0,0,"5,436",0,9,0,0,0,0,10,0,0,"9,00,28,490",
